,date,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Shandong,Jiangsu,Chongqing,Sichuan,Heilongjiang,Beijing,Shanghai,Fujian,Hebei,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Shanxi,Tianjin,Liaoning,Gansu,Jilin,Hong Kong,Inner Mongolia,Xinjiang,Ningxia,Qinghai,Macau,Tibet
0,2020-01-22,444,26,5,10,4,1,2,2,1,6,5,0,14,9,1,1,2,0,1,4,1,1,4,2,0,0,0,0,0,1,0,1,0
1,2020-01-23,444,32,5,27,9,9,7,6,5,9,8,2,22,16,5,1,5,3,2,5,3,1,4,3,2,1,2,0,2,1,0,2,0
2,2020-01-24,549,53,9,43,24,15,18,15,9,27,15,4,36,20,10,2,23,5,5,8,3,1,8,4,2,3,2,1,2,2,0,2,0
3,2020-01-25,761,78,32,62,43,39,18,27,18,57,28,9,41,33,18,8,23,15,11,19,4,6,10,17,4,4,5,7,3,3,1,2,0
4,2020-01-26,1058,111,83,104,69,60,36,46,33,75,44,15,68,40,35,13,36,22,16,22,5,9,14,21,7,4,8,7,4,4,1,5,0
5,2020-01-27,1423,151,128,128,100,70,72,75,47,110,69,21,80,53,59,18,46,35,26,33,7,13,23,27,14,6,8,11,5,7,6,6,0
6,2020-01-28,3554,207,168,173,143,106,109,95,70,132,90,33,91,66,80,33,51,46,44,40,9,27,24,34,19,8,8,15,10,11,6,7,0
7,2020-01-29,3554,277,206,296,221,152,109,130,99,147,108,38,111,96,84,48,58,56,55,43,9,27,27,39,24,9,10,16,13,12,6,7,0
8,2020-01-30,4903,354,278,428,277,200,162,158,129,182,142,44,114,112,101,65,78,63,70,46,12,35,31,41,26,14,10,19,14,17,8,7,1
9,2020-01-31,5806,436,352,538,332,237,240,184,168,211,177,59,139,135,120,82,87,87,83,52,29,39,32,48,29,14,12,20,17,21,8,7,1
10,2020-02-01,7153,535,422,599,389,297,286,206,202,247,207,80,168,169,144,96,100,101,93,62,29,47,41,64,40,17,13,23,18,26,9,7,1
11,2020-02-02,11177,632,493,661,463,340,333,230,236,300,231,95,191,182,159,104,111,116,105,64,38,66,48,70,51,23,15,27,21,28,11,8,1
12,2020-02-03,13522,725,566,724,521,408,391,259,271,337,254,121,212,203,179,113,127,128,117,72,46,74,60,74,55,31,15,34,24,31,13,8,1
13,2020-02-04,16678,813,675,829,593,480,476,275,308,366,282,155,228,219,194,126,139,142,122,80,58,81,67,81,57,42,17,35,29,34,15,10,1
14,2020-02-05,19665,895,764,895,661,530,548,307,341,389,301,190,253,243,205,135,150,165,128,99,64,81,69,89,62,54,21,42,32,34,17,10,1
15,2020-02-06,22112,970,851,954,711,591,600,347,373,411,321,227,274,257,215,157,168,173,133,106,71,96,79,94,62,59,24,46,36,40,18,10,1
16,2020-02-07,24953,1034,914,1006,772,665,661,386,408,426,344,277,297,277,224,172,172,184,138,117,81,104,81,99,67,65,25,50,39,43,18,10,1
17,2020-02-08,27100,1095,981,1048,803,733,698,416,439,428,364,295,315,286,239,195,183,195,138,124,89,115,88,105,79,69,26,52,42,45,18,10,1
18,2020-02-09,29631,1131,1033,1075,838,779,740,444,468,468,386,307,326,293,250,206,195,208,141,131,99,119,91,107,83,78,29,54,45,45,18,10,1
19,2020-02-10,31728,1159,1073,1092,879,830,771,466,492,486,405,331,337,299,261,218,210,213,149,138,109,119,95,108,83,80,38,58,49,49,18,10,1
20,2020-02-11,33366,1177,1105,1117,912,860,804,487,515,505,417,360,342,303,267,239,215,219,153,144,127,124,106,111,86,81,49,58,55,53,18,10,1
21,2020-02-12,33366,1219,1135,1131,946,889,844,497,543,518,436,378,352,311,272,251,222,225,154,157,133,126,112,116,87,83,50,60,59,58,18,10,1
22,2020-02-13,48206,1241,1169,1145,968,910,872,509,570,529,451,395,366,315,279,265,222,229,156,157,135,126,119,117,90,84,53,61,63,64,18,10,1
23,2020-02-14,54406,1261,1184,1155,988,934,900,523,593,537,463,419,372,318,281,283,226,230,162,159,140,127,120,119,90,86,56,65,65,67,18,10,1
24,2020-02-15,56249,1294,1212,1162,1001,950,913,532,604,544,470,425,375,326,285,291,235,232,168,162,143,128,122,119,90,88,56,68,70,70,18,10,1
25,2020-02-16,58182,1316,1231,1167,1004,962,925,537,617,551,481,445,380,328,287,300,237,236,171,162,144,129,124,121,90,89,57,70,71,70,18,10,1
26,2020-02-17,59989,1322,1246,1171,1006,973,930,541,626,553,495,457,381,333,290,301,238,240,171,163,146,130,125,121,91,89,60,72,75,70,18,10,1
27,2020-02-18,61682,1328,1257,1172,1007,982,933,543,629,555,508,464,387,333,292,306,242,240,172,163,146,131,128,121,91,89,62,73,76,70,18,10,1
28,2020-02-19,62031,1331,1262,1174,1008,986,934,544,631,560,514,470,393,333,293,306,244,242,172,168,146,131,130,121,91,90,63,75,76,71,18,10,1
29,2020-02-20,62442,1332,1265,1175,1010,987,934,546,631,567,520,476,395,334,293,307,245,245,174,168,146,132,131,121,91,91,68,75,76,71,18,10,1
30,2020-02-21,62662,1333,1267,1203,1011,988,934,749,631,572,525,479,396,334,293,308,246,245,174,168,146,132,132,121,91,91,68,75,76,71,18,10,1
31,2020-02-22,64084,1339,1270,1205,1013,989,934,750,631,573,526,479,399,335,293,309,249,245,174,168,146,132,135,121,91,91,69,75,76,71,18,10,1
32,2020-02-23,64084,1342,1271,1205,1016,989,934,754,631,575,526,480,399,335,293,311,249,245,174,168,146,132,135,121,91,91,74,75,76,71,18,10,1
33,2020-02-24,64287,1345,1271,1205,1016,989,934,755,631,576,527,480,399,335,293,311,251,245,174,168,146,133,135,121,91,93,79,75,76,71,18,10,1
34,2020-02-25,64786,1347,1271,1205,1016,989,934,756,631,576,529,480,400,336,294,311,252,245,174,168,146,133,135,121,91,93,84,75,76,71,18,10,1
35,2020-02-26,65187,1347,1271,1205,1016,989,934,756,631,576,531,480,400,337,294,312,252,245,174,168,146,133,135,121,91,93,91,75,76,71,18,10,1
36,2020-02-27,65596,1347,1272,1205,1017,989,934,756,631,576,534,480,410,337,296,317,252,245,174,168,146,133,136,121,91,93,92,75,76,72,18,10,1
37,2020-02-28,65914,1348,1272,1205,1017,990,935,756,631,576,538,480,410,337,296,318,252,245,174,168,146,133,136,121,91,93,94,75,76,72,18,10,1
38,2020-02-29,66337,1349,1272,1205,1018,990,935,756,631,576,538,480,411,337,296,318,252,245,174,168,146,133,136,121,91,93,95,75,76,73,18,10,1
39,2020-03-01,66907,1349,1272,1205,1018,990,935,758,631,576,538,480,413,337,296,318,252,245,174,168,146,133,136,122,91,93,96,75,76,73,18,10,1
40,2020-03-02,67103,1350,1272,1206,1018,990,935,758,631,576,538,480,414,337,296,318,252,245,174,168,146,133,136,122,91,93,100,75,76,74,18,10,1
41,2020-03-03,67217,1350,1272,1213,1018,990,935,758,631,576,538,480,414,338,296,318,252,245,174,168,146,133,136,125,91,93,100,75,76,74,18,10,1
42,2020-03-04,67332,1350,1272,1213,1018,990,935,758,631,576,538,480,418,338,296,318,252,245,174,168,146,133,136,125,91,93,105,75,76,75,18,10,1
43,2020-03-05,67466,1351,1272,1215,1018,990,935,758,631,576,539,481,418,339,296,318,252,245,174,168,146,133,136,125,102,93,105,75,76,75,18,10,1
44,2020-03-06,67592,1352,1272,1215,1018,990,935,758,631,576,539,481,422,342,296,318,252,245,174,168,146,133,136,125,119,93,107,75,76,75,18,10,1
45,2020-03-07,67666,1352,1272,1215,1018,990,935,758,631,576,539,481,426,342,296,318,252,245,174,168,146,133,136,125,120,93,108,75,76,75,18,10,1
46,2020-03-08,67707,1352,1272,1215,1018,990,935,758,631,576,539,481,428,342,296,318,252,245,174,168,146,133,136,125,124,93,114,75,76,75,18,10,1
47,2020-03-09,67743,1352,1272,1215,1018,990,935,758,631,576,539,481,428,342,296,318,252,245,174,168,146,133,136,125,124,93,115,75,76,75,18,10,1
48,2020-03-10,67760,1353,1272,1215,1018,990,935,758,631,576,539,481,429,344,296,318,252,245,174,168,146,133,136,125,125,93,120,75,76,75,18,10,1
49,2020-03-11,67773,1356,1273,1215,1018,990,935,760,631,576,539,482,435,344,296,318,252,245,174,168,146,133,136,125,127,93,126,75,76,75,18,10,1
50,2020-03-12,67781,1356,1273,1215,1018,990,935,760,631,576,539,482,435,344,296,318,252,245,174,168,146,133,136,125,127,93,129,75,76,75,18,10,1
51,2020-03-13,67786,1356,1273,1215,1018,990,935,760,631,576,539,482,436,346,296,318,252,245,174,168,146,133,136,125,127,93,134,75,76,75,18,10,1
52,2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
